"Hour","Month","Day_of_Month","Day","Van_Temp_Cel","Van_Dew_Point_Temp_Cel","Van_Relative_Humidity_Per","Vic_Temp_Cel","Vic_Dew_Point_Temp_Cel","Vic_Relative_Humidity_Per","Vic_Wind_Direct_Deg","Vic_Wind_Speed","Vic_Visibility","Vic_Station.Pressure","Minute"
"20"," 8","28","7",16.4,13.8,"85",13.2,11.9,"92","240",5,24.1,101.84," 0"
"21"," 8","28","7",16.6,13,"79",-0.2,-0.5,"94","340",4,4.8,101.67," 0"
"22"," 8","28","7",16.6,12.9,"79",13,9.7,"80"," 50",4,24.1,102.11," 0"
" 5"," 8","28","7",15.6,12.3,"81",13.2,11.8,"91","230",13,24.1,101.71,"15"
" 7"," 8","28","7",15.8,12.4,"80",13.1,11.7,"91","160",8,24.1,101.79,"45"
"10"," 8","28","7",16.7,12.3,"75",14.6,11.8,"83","160",14,24.1,101.88,"15"
"12"," 8","28","7",19.3,11.7,"61",15.5,11.1,"75","170",10,24.1,101.91,"45"
"15"," 8","28","7",18.5,13.3,"72",13.4,12.1,"92","230",9,17.7,101.93,"15"
"17"," 8","28","7",17.3,14.7,"85",14.2,12.3,"88","120",3,16.1,101.88,"45"
"20"," 8","28","7",16.4,13.8,"85",13.2,11.9,"92","240",5,24.1,101.84,"15"
"22"," 8","28","7",16.6,12.9,"79",8.7,6.9,"89","240",10,24.1,102.2,"45"
" 6"," 8","28","7",15.8,12.1,"79",13.4,11.6,"89","180",10,24.1,101.76,"20"
" 8"," 8","28","7",16.1,12.6,"80",13.7,11.9,"89","180",9,24.1,101.83,"30"
"10"," 8","28","7",16.7,12.3,"75",14.6,11.8,"83","160",14,24.1,101.88,"40"
"12"," 8","28","7",19.3,11.7,"61",15.5,11.1,"75","170",10,24.1,101.91,"15"
"12"," 8","28","7",19.3,11.7,"61",15.5,11.1,"75","170",10,24.1,101.91,"50"
"15"," 8","28","7",18.5,13.3,"72",13.4,12.1,"92","230",9,17.7,101.93,"10"
"16"," 8","28","7",18.4,14,"75",13.4,12.3,"93","230",7,16.1,101.92,"40"
"17"," 8","28","7",17.3,14.7,"85",14.2,12.3,"88","120",3,16.1,101.88,"20"
"19"," 8","28","7",16.3,14.5,"89",13.4,12.1,"92","220",5,24.1,101.84,"30"
"21"," 8","28","7",16.6,13,"79",22.4,6.9,"36"," 20",10,24.1,101.88," 5"
"21"," 8","28","7",16.6,13,"79",-2.8,-2.2,"99","360",1,8.1,102.75,"30"
" 6"," 8","28","7",15.8,12.1,"79",13.4,11.6,"89","180",10,24.1,101.76," 0"
" 8"," 8","28","7",16.1,12.6,"80",13.7,11.9,"89","180",9,24.1,101.83," 0"
"10"," 8","28","7",16.7,12.3,"75",14.6,11.8,"83","160",14,24.1,101.88," 5"
"11"," 8","28","7",17.4,11.9,"70",15.2,11.8,"80","120",11,24.1,101.87," 5"
"12"," 8","28","7",19.3,11.7,"61",15.5,11.1,"75","170",10,24.1,101.91,"10"
"14"," 8","28","7",17.5,13.6,"78",13.6,12.3,"92","180",5,16.1,101.97,"35"
"15"," 8","28","7",18.5,13.3,"72",13.4,12.1,"92","230",9,17.7,101.93,"45"
"16"," 8","28","7",18.4,14,"75",13.4,12.3,"93","230",7,16.1,101.92,"45"
"17"," 8","28","7",17.3,14.7,"85",14.2,12.3,"88","120",3,16.1,101.88,"50"
"18"," 8","28","7",17.4,14.1,"81",13.3,12,"92","220",6,24.1,101.85,"50"
"19"," 8","28","7",16.3,14.5,"89",13.4,12.1,"92","220",5,24.1,101.84,"50"
"21"," 8","28","7",16.6,13,"79",10.6,8.6,"86","260",9,24.1,102.5,"40"
" 6"," 8","28","7",15.8,12.1,"79",13.4,11.6,"89","180",10,24.1,101.76,"20"
" 8"," 8","28","7",16.1,12.6,"80",13.7,11.9,"89","180",9,24.1,101.83,"30"
"10"," 8","28","7",16.7,12.3,"75",14.6,11.8,"83","160",14,24.1,101.88,"40"
"12"," 8","28","7",19.3,11.7,"61",15.5,11.1,"75","170",10,24.1,101.91,"50"
"14"," 8","28","7",17.5,13.6,"78",13.6,12.3,"92","180",5,16.1,101.97,"30"
"15"," 8","28","7",18.5,13.3,"72",13.4,12.1,"92","230",9,17.7,101.93,"10"
"17"," 8","28","7",17.3,14.7,"85",14.2,12.3,"88","120",3,16.1,101.88,"20"
"18"," 8","28","7",17.4,14.1,"81",13.3,12,"92","220",6,24.1,101.85,"55"
"19"," 8","28","7",16.3,14.5,"89",13.4,12.1,"92","220",5,24.1,101.84,"30"
"21"," 8","28","7",16.6,13,"79",12.4,10.6,"88"," 60",5,8.1,102.29,"30"
"23"," 8","28","7",16.5,13.1,"80",7.3,5.3,"88","230",6,24.1,101.4," 5"
" 7"," 8","28","7",15.8,12.4,"80",13.1,11.7,"91","160",8,24.1,101.79,"25"
" 9"," 8","28","7",16.1,12.4,"79",14.2,11.7,"85","150",10,24.1,101.84,"40"
"12"," 8","28","7",19.3,11.7,"61",15.5,11.1,"75","170",10,24.1,101.91," 0"
"13"," 8","28","7",19.6,11.9,"61",13.4,11.8,"90","230",8,16.1,101.99,"35"
"14"," 8","28","7",17.5,13.6,"78",13.6,12.3,"92","180",5,16.1,101.97,"15"
"15"," 8","28","7",18.5,13.3,"72",13.4,12.1,"92","230",9,17.7,101.93,"45"
"16"," 8","28","7",18.4,14,"75",13.4,12.3,"93","230",7,16.1,101.92,"30"
"17"," 8","28","7",17.3,14.7,"85",14.2,12.3,"88","120",3,16.1,101.88,"50"
"18"," 8","28","7",17.4,14.1,"81",13.3,12,"92","220",6,24.1,101.85,"35"
"20"," 8","28","7",16.4,13.8,"85",13.2,11.9,"92","240",5,24.1,101.84,"40"
"22"," 8","28","7",16.6,12.9,"79",7,6.3,"91","350",1,24.1,102.69,"35"
" 6"," 8","28","7",15.8,12.1,"79",13.4,11.6,"89","180",10,24.1,101.76,"20"
" 8"," 8","28","7",16.1,12.6,"80",13.7,11.9,"89","180",9,24.1,101.83,"30"
"10"," 8","28","7",16.7,12.3,"75",14.6,11.8,"83","160",14,24.1,101.88,"50"
"12"," 8","28","7",19.3,11.7,"61",15.5,11.1,"75","170",10,24.1,101.91,"30"
"13"," 8","28","7",19.6,11.9,"61",13.4,11.8,"90","230",8,16.1,101.99," 5"
"14"," 8","28","7",17.5,13.6,"78",13.6,12.3,"92","180",5,16.1,101.97,"40"
"15"," 8","28","7",18.5,13.3,"72",13.4,12.1,"92","230",9,17.7,101.93,"25"
"16"," 8","28","7",18.4,14,"75",13.4,12.3,"93","230",7,16.1,101.92,"45"
"17"," 8","28","7",17.3,14.7,"85",14.2,12.3,"88","120",3,16.1,101.88,"30"
"18"," 8","28","7",17.4,14.1,"81",13.3,12,"92","220",6,24.1,101.85,"55"
"19"," 8","28","7",16.3,14.5,"89",13.4,12.1,"92","220",5,24.1,101.84,"35"
"21"," 8","28","7",16.6,13,"79",9.4,7.5,"85","270",14,16.1,101.27,"40"
" 6"," 8","29","1",14.6,12.9,"90",12.1,11.5,"96","360",1,24.1,101.78," 0"
" 7"," 8","29","1",15.9,14.1,"89",12.2,11.4,"95","130",4,0.8,101.79," 0"
" 8"," 8","29","1",17.3,14.1,"82",12.8,12.3,"97","360",2,8.1,101.78," 0"
" 9"," 8","29","1",18.7,14.3,"76",13.4,11.6,"89","280",4,16.1,101.78," 0"
"10"," 8","29","1",19.8,14.9,"74",15.3,12.3,"82","260",4,24.1,101.73," 0"
"11"," 8","29","1",22.4,14.5,"61",16.2,12.4,"78","140",8,24.1,101.67," 0"
"12"," 8","29","1",22.9,15.9,"65",16.5,11.7,"73","180",12,24.1,101.62," 0"
"13"," 8","29","1",24.2,16.1,"61",15.9,11.3,"74","210",10,24.1,101.62," 0"
"14"," 8","29","1",22,15.2,"66",14.5,12.2,"86","220",9,24.1,101.57," 0"
"15"," 8","29","1",21,15.3,"70",15.1,11.9,"81","190",12,24.1,101.54," 0"
"16"," 8","29","1",21.7,14.8,"65",15.4,11.8,"79","180",11,24.1,101.48," 0"
"17"," 8","29","1",21.3,14.3,"64",18.4,13.5,"73","240",18,24.1,101.44," 0"
"18"," 8","29","1",19.7,14.5,"72",19.5,13.1,"66","250",24,24.1,101.43," 0"
"19"," 8","29","1",20.5,13.4,"64",19.5,12.6,"64","260",18,24.1,101.44," 0"
"20"," 8","29","1",18.4,13.7,"74",18.6,12.4,"67","230",7,24.1,101.44," 0"
"21"," 8","29","1",18.3,13,"71",6.9,5.9,"93","360",5,3.2,101.28," 0"
"10"," 8","29","1",19.8,14.9,"74",15.3,12.3,"82","260",4,24.1,101.73,"20"
"14"," 8","29","1",22,15.2,"66",14.5,12.2,"86","220",9,24.1,101.57,"30"
"18"," 8","29","1",19.7,14.5,"72",19.5,13.1,"66","250",24,24.1,101.43,"20"
"19"," 8","29","1",20.5,13.4,"64",19.5,12.6,"64","260",18,24.1,101.44,"40"
" 5"," 8","29","1",14.5,13,"91",11.7,11.2,"97","290",3,16.1,101.75,"15"
" 7"," 8","29","1",15.9,14.1,"89",12.2,11.4,"95","130",4,0.8,101.79,"45"
"10"," 8","29","1",19.8,14.9,"74",15.3,12.3,"82","260",4,24.1,101.73,"15"
"12"," 8","29","1",22.9,15.9,"65",16.5,11.7,"73","180",12,24.1,101.62,"45"
"15"," 8","29","1",21,15.3,"70",15.1,11.9,"81","190",12,24.1,101.54,"15"
"17"," 8","29","1",21.3,14.3,"64",18.4,13.5,"73","240",18,24.1,101.44,"45"
"20"," 8","29","1",18.4,13.7,"74",18.6,12.4,"67","230",7,24.1,101.44,"15"
"22"," 8","29","1",16.9,12.8,"77",14.3,12.6,"91","350",5,9.7,101.21,"45"
" 7"," 8","29","1",15.9,14.1,"89",12.2,11.4,"95","130",4,0.8,101.79," 0"
" 9"," 8","29","1",18.7,14.3,"76",13.4,11.6,"89","280",4,16.1,101.78," 0"
"11"," 8","29","1",22.4,14.5,"61",16.2,12.4,"78","140",8,24.1,101.67," 0"
"13"," 8","29","1",24.2,16.1,"61",15.9,11.3,"74","210",10,24.1,101.62," 0"
"15"," 8","29","1",21,15.3,"70",15.1,11.9,"81","190",12,24.1,101.54," 0"
"17"," 8","29","1",21.3,14.3,"64",18.4,13.5,"73","240",18,24.1,101.44," 0"
"19"," 8","29","1",20.5,13.4,"64",19.5,12.6,"64","260",18,24.1,101.44," 0"
"21"," 8","29","1",18.3,13,"71",10,8.5,"91","220",10,24.1,101.3," 0"
" 5"," 8","29","1",14.5,13,"91",11.7,11.2,"97","290",3,16.1,101.75,"10"
" 5"," 8","29","1",14.5,13,"91",11.7,11.2,"97","290",3,16.1,101.75,"15"
" 8"," 8","29","1",17.3,14.1,"82",12.8,12.3,"97","360",2,8.1,101.78,"35"
" 9"," 8","29","1",18.7,14.3,"76",13.4,11.6,"89","280",4,16.1,101.78," 5"
"10"," 8","29","1",19.8,14.9,"74",15.3,12.3,"82","260",4,24.1,101.73,"35"
"14"," 8","29","1",22,15.2,"66",14.5,12.2,"86","220",9,24.1,101.57,"20"
"15"," 8","29","1",21,15.3,"70",15.1,11.9,"81","190",12,24.1,101.54," 0"
"16"," 8","29","1",21.7,14.8,"65",15.4,11.8,"79","180",11,24.1,101.48,"25"
"18"," 8","29","1",19.7,14.5,"72",19.5,13.1,"66","250",24,24.1,101.43,"45"
"20"," 8","29","1",18.4,13.7,"74",18.6,12.4,"67","230",7,24.1,101.44," 5"
" 6"," 8","29","1",14.6,12.9,"90",12.1,11.5,"96","360",1,24.1,101.78," 0"
" 7"," 8","29","1",15.9,14.1,"89",12.2,11.4,"95","130",4,0.8,101.79," 0"
" 8"," 8","29","1",17.3,14.1,"82",12.8,12.3,"97","360",2,8.1,101.78," 0"
" 9"," 8","29","1",18.7,14.3,"76",13.4,11.6,"89","280",4,16.1,101.78," 0"
"10"," 8","29","1",19.8,14.9,"74",15.3,12.3,"82","260",4,24.1,101.73," 0"
"11"," 8","29","1",22.4,14.5,"61",16.2,12.4,"78","140",8,24.1,101.67," 0"
"12"," 8","29","1",22.9,15.9,"65",16.5,11.7,"73","180",12,24.1,101.62," 0"
"13"," 8","29","1",24.2,16.1,"61",15.9,11.3,"74","210",10,24.1,101.62," 0"
"14"," 8","29","1",22,15.2,"66",14.5,12.2,"86","220",9,24.1,101.57," 0"
"15"," 8","29","1",21,15.3,"70",15.1,11.9,"81","190",12,24.1,101.54," 0"
"16"," 8","29","1",21.7,14.8,"65",15.4,11.8,"79","180",11,24.1,101.48," 0"
"17"," 8","29","1",21.3,14.3,"64",18.4,13.5,"73","240",18,24.1,101.44," 0"
"18"," 8","29","1",19.7,14.5,"72",19.5,13.1,"66","250",24,24.1,101.43," 0"
"19"," 8","29","1",20.5,13.4,"64",19.5,12.6,"64","260",18,24.1,101.44," 0"
"20"," 8","29","1",18.4,13.7,"74",18.6,12.4,"67","230",7,24.1,101.44," 0"
"21"," 8","29","1",18.3,13,"71",5.2,4.8,"93","330",8,12.9,100.4," 0"
" 5"," 8","29","1",14.5,13,"91",11.7,11.2,"97","290",3,16.1,101.75,"15"
" 7"," 8","29","1",15.9,14.1,"89",12.2,11.4,"95","130",4,0.8,101.79,"45"
"10"," 8","29","1",19.8,14.9,"74",15.3,12.3,"82","260",4,24.1,101.73,"15"
"12"," 8","29","1",22.9,15.9,"65",16.5,11.7,"73","180",12,24.1,101.62,"45"
"15"," 8","29","1",21,15.3,"70",15.1,11.9,"81","190",12,24.1,101.54,"15"
"17"," 8","29","1",21.3,14.3,"64",18.4,13.5,"73","240",18,24.1,101.44,"45"
"20"," 8","29","1",18.4,13.7,"74",18.6,12.4,"67","230",7,24.1,101.44,"15"
"22"," 8","29","1",16.9,12.8,"77",5.2,3.9,"93","340",9,8.1,102.03,"45"
" 6"," 8","29","1",14.6,12.9,"90",12.1,11.5,"96","360",1,24.1,101.78,"20"
" 7"," 8","29","1",15.9,14.1,"89",12.2,11.4,"95","130",4,0.8,101.79,"45"
" 8"," 8","29","1",17.3,14.1,"82",12.8,12.3,"97","360",2,8.1,101.78,"30"
"10"," 8","29","1",19.8,14.9,"74",15.3,12.3,"82","260",4,24.1,101.73,"40"
"12"," 8","29","1",22.9,15.9,"65",16.5,11.7,"73","180",12,24.1,101.62,"15"
"12"," 8","29","1",22.9,15.9,"65",16.5,11.7,"73","180",12,24.1,101.62,"50"
"15"," 8","29","1",21,15.3,"70",15.1,11.9,"81","190",12,24.1,101.54,"10"
"16"," 8","29","1",21.7,14.8,"65",15.4,11.8,"79","180",11,24.1,101.48,"40"
"17"," 8","29","1",21.3,14.3,"64",18.4,13.5,"73","240",18,24.1,101.44,"20"
"19"," 8","29","1",20.5,13.4,"64",19.5,12.6,"64","260",18,24.1,101.44,"30"
"21"," 8","29","1",18.3,13,"71",8.1,5.1,"81","200",5,24.1,101.92,"30"
" 6"," 8","29","1",14.6,12.9,"90",12.1,11.5,"96","360",1,24.1,101.78," 0"
" 7"," 8","29","1",15.9,14.1,"89",12.2,11.4,"95","130",4,0.8,101.79," 0"
" 8"," 8","29","1",17.3,14.1,"82",12.8,12.3,"97","360",2,8.1,101.78," 0"
" 9"," 8","29","1",18.7,14.3,"76",13.4,11.6,"89","280",4,16.1,101.78," 5"
"10"," 8","29","1",19.8,14.9,"74",15.3,12.3,"82","260",4,24.1,101.73," 5"
"11"," 8","29","1",22.4,14.5,"61",16.2,12.4,"78","140",8,24.1,101.67," 5"
"12"," 8","29","1",22.9,15.9,"65",16.5,11.7,"73","180",12,24.1,101.62,"10"
"14"," 8","29","1",22,15.2,"66",14.5,12.2,"86","220",9,24.1,101.57,"35"
"15"," 8","29","1",21,15.3,"70",15.1,11.9,"81","190",12,24.1,101.54,"45"
"16"," 8","29","1",21.7,14.8,"65",15.4,11.8,"79","180",11,24.1,101.48,"45"
"17"," 8","29","1",21.3,14.3,"64",18.4,13.5,"73","240",18,24.1,101.44,"50"
"18"," 8","29","1",19.7,14.5,"72",19.5,13.1,"66","250",24,24.1,101.43,"50"
"19"," 8","29","1",20.5,13.4,"64",19.5,12.6,"64","260",18,24.1,101.44,"50"
"20"," 8","29","1",18.4,13.7,"74",18.6,12.4,"67","230",7,24.1,101.44,"40"
"21"," 8","29","1",18.3,13,"71",17.3,11.7,"69","320",5,24.1,102.62,"40"
" 6"," 8","29","1",14.6,12.9,"90",12.1,11.5,"96","360",1,24.1,101.78,"20"
" 8"," 8","29","1",17.3,14.1,"82",12.8,12.3,"97","360",2,8.1,101.78,"30"
" 9"," 8","29","1",18.7,14.3,"76",13.4,11.6,"89","280",4,16.1,101.78,"55"
"10"," 8","29","1",19.8,14.9,"74",15.3,12.3,"82","260",4,24.1,101.73,"40"
"12"," 8","29","1",22.9,15.9,"65",16.5,11.7,"73","180",12,24.1,101.62,"50"
"14"," 8","29","1",22,15.2,"66",14.5,12.2,"86","220",9,24.1,101.57,"30"
"15"," 8","29","1",21,15.3,"70",15.1,11.9,"81","190",12,24.1,101.54,"10"
"17"," 8","29","1",21.3,14.3,"64",18.4,13.5,"73","240",18,24.1,101.44,"20"
"18"," 8","29","1",19.7,14.5,"72",19.5,13.1,"66","250",24,24.1,101.43,"55"
"19"," 8","29","1",20.5,13.4,"64",19.5,12.6,"64","260",18,24.1,101.44,"30"
"21"," 8","29","1",18.3,13,"71",7.1,6.3,"94","340",2,4.8,100.78,"30"
" 7"," 8","29","1",15.9,14.1,"89",12.2,11.4,"95","130",4,0.8,101.79,"25"
" 9"," 8","29","1",18.7,14.3,"76",13.4,11.6,"89","280",4,16.1,101.78,"40"
"12"," 8","29","1",22.9,15.9,"65",16.5,11.7,"73","180",12,24.1,101.62," 0"
"13"," 8","29","1",24.2,16.1,"61",15.9,11.3,"74","210",10,24.1,101.62,"35"
"14"," 8","29","1",22,15.2,"66",14.5,12.2,"86","220",9,24.1,101.57,"15"
"15"," 8","29","1",21,15.3,"70",15.1,11.9,"81","190",12,24.1,101.54,"45"
"16"," 8","29","1",21.7,14.8,"65",15.4,11.8,"79","180",11,24.1,101.48,"30"
"17"," 8","29","1",21.3,14.3,"64",18.4,13.5,"73","240",18,24.1,101.44,"50"
"18"," 8","29","1",19.7,14.5,"72",19.5,13.1,"66","250",24,24.1,101.43,"35"
"20"," 8","29","1",18.4,13.7,"74",18.6,12.4,"67","230",7,24.1,101.44,"40"
"22"," 8","29","1",16.9,12.8,"77",19.5,9.9,"53","280",22,24.1,101.95,"35"
" 6"," 8","29","1",14.6,12.9,"90",12.1,11.5,"96","360",1,24.1,101.78,"20"
" 8"," 8","29","1",17.3,14.1,"82",12.8,12.3,"97","360",2,8.1,101.78,"30"
"10"," 8","29","1",19.8,14.9,"74",15.3,12.3,"82","260",4,24.1,101.73,"50"
"12"," 8","29","1",22.9,15.9,"65",16.5,11.7,"73","180",12,24.1,101.62,"30"
"13"," 8","29","1",24.2,16.1,"61",15.9,11.3,"74","210",10,24.1,101.62," 5"
"14"," 8","29","1",22,15.2,"66",14.5,12.2,"86","220",9,24.1,101.57,"40"
"15"," 8","29","1",21,15.3,"70",15.1,11.9,"81","190",12,24.1,101.54,"25"
"16"," 8","29","1",21.7,14.8,"65",15.4,11.8,"79","180",11,24.1,101.48,"45"
"17"," 8","29","1",21.3,14.3,"64",18.4,13.5,"73","240",18,24.1,101.44,"30"
"19"," 8","29","1",20.5,13.4,"64",19.5,12.6,"64","260",18,24.1,101.44,"35"
"21"," 8","29","1",18.3,13,"71",1.6,0.2,"91","340",5,9.7,101.45,"40"
" 7"," 8","30","2",16.3,13.8,"86",13.6,12.3,"92","120",11,24.1,101.63," 0"
" 8"," 8","30","2",16.5,13.9,"85",14.2,12.6,"90","100",8,24.1,101.62," 0"
" 9"," 8","30","2",17.3,14.8,"85",13.7,11.9,"89","230",11,24.1,101.6," 0"
"10"," 8","30","2",19.3,15.2,"77",15.4,12.9,"85","120",14,24.1,101.58," 0"
"11"," 8","30","2",19.3,13.5,"69",16.4,13,"80","150",7,24.1,101.56," 0"
"12"," 8","30","2",21.1,13.9,"63",16.6,12.8,"78","110",14,24.1,101.54," 0"
"13"," 8","30","2",21.4,13.2,"59",17.1,12.9,"76","110",10,24.1,101.51," 0"
"14"," 8","30","2",20.9,13.9,"64",17.5,12.5,"72","120",14,24.1,101.47," 0"
"15"," 8","30","2",20.5,13.1,"63",17.4,12.6,"73","130",16,24.1,101.46," 0"
"16"," 8","30","2",19.8,12.4,"62",17.9,12.6,"71","140",15,24.1,101.44," 0"
"17"," 8","30","2",19.6,12.8,"65",15.5,12.1,"80","170",9,24.1,101.42," 0"
"18"," 8","30","2",18.6,13,"70",14.3,12.2,"87","170",13,24.1,101.38," 0"
"19"," 8","30","2",18.4,12.9,"70",15,12,"82","160",16,24.1,101.41," 0"
"21"," 8","30","2",16.8,13.5,"81",9.3,8.1,"93"," 30",9,8.1,102.64," 0"
"10"," 8","30","2",19.3,15.2,"77",15.4,12.9,"85","120",14,24.1,101.58,"20"
"19"," 8","30","2",18.4,12.9,"70",15,12,"82","160",16,24.1,101.41,"40"
" 5"," 8","30","2",16,13.5,"85",12.7,11.5,"92","360",3,24.1,101.57,"15"
" 7"," 8","30","2",16.3,13.8,"86",13.6,12.3,"92","120",11,24.1,101.63,"45"
"10"," 8","30","2",19.3,15.2,"77",15.4,12.9,"85","120",14,24.1,101.58,"15"
"12"," 8","30","2",21.1,13.9,"63",16.6,12.8,"78","110",14,24.1,101.54,"45"
"15"," 8","30","2",20.5,13.1,"63",17.4,12.6,"73","130",16,24.1,101.46,"15"
"17"," 8","30","2",19.6,12.8,"65",15.5,12.1,"80","170",9,24.1,101.42,"45"
"20"," 8","30","2",17,13.4,"79",15.7,12.3,"80","170",7,24.1,101.45,"15"
"22"," 8","30","2",16.7,13.5,"81",9.6,3.3,"68","240",11,24.1,102.39,"45"
