"","ID","Vessel_Name","Departure","Arrival","Scheduled_Departure","Day_of_Month","Month","Day","Hour","Traffic","Van_Temp_Cel","Van_Dew_Point_Temp_Cel","Van_Relative_Humidity_Per","Vic_Temp_Cel","Vic_Dew_Point_Temp_Cel","Vic_Relative_Humidity_Per","Vic_Wind_Direct_Deg","Vic_Wind_Speed","Vic_Visibility","Vic_Station_Pressure"
"30",30,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","21:30",27,"November","Monday",21,1,7.5,6,90,8.1,5.2,82,110,14,24.1,101.78
"31",31,"Queen of Oak Bay","Horseshoe Bay","Departure Bay","06:30",27,"November","Monday",6,1,5.5,4.7,95,7.3,5,85,250,14,24.1,101.41
"32",32,"Queen of Cowichan","Horseshoe Bay","Departure Bay","08:30",27,"November","Monday",8,1,4.9,4.3,96,7.4,5.1,85,260,14,24.1,101.61
"33",33,"Queen of Oak Bay","Horseshoe Bay","Departure Bay","10:30",27,"November","Monday",10,1,7.8,6.2,89,8,4.1,76,220,13,24.1,101.77
"34",34,"Queen of Cowichan","Horseshoe Bay","Departure Bay","12:30",27,"November","Monday",12,1.8,8.4,5.9,84,8.7,4.5,75,220,9,24.1,101.88
"35",35,"Queen of Oak Bay","Horseshoe Bay","Departure Bay","15:00",27,"November","Monday",15,1,8.8,4.6,74,8.8,4,72,130,9,24.1,101.99
"36",36,"Queen of Cowichan","Horseshoe Bay","Departure Bay","17:00",27,"November","Monday",17,5,8.1,6,87,8.5,5.2,79,130,17,24.1,101.97
"37",37,"Queen of Oak Bay","Horseshoe Bay","Departure Bay","19:00",27,"November","Monday",19,1,7.3,6.2,92,8,5.3,83,120,17,24.1,101.88
"38",38,"Queen of Surrey","Horseshoe Bay","Langdale","07:20",27,"November","Monday",7,1,5.3,4.6,96,7.4,4.8,84,240,16,24.1,101.51
"39",39,"Queen of Surrey","Horseshoe Bay","Langdale","09:25",27,"November","Monday",9,1.4,7.3,5.8,91,7.8,5.3,84,230,16,24.1,101.66
"40",40,"Queen of Surrey","Horseshoe Bay","Langdale","11:30",27,"November","Monday",11,1,9.1,6.7,85,8.5,4.4,75,240,15,24.1,101.85
"41",41,"Queen of Surrey","Horseshoe Bay","Langdale","13:35",27,"November","Monday",13,1,9.1,5.8,80,9,4.2,72,200,6,24.1,101.91
"42",42,"Queen of Surrey","Horseshoe Bay","Langdale","15:50",27,"November","Monday",15,2,8.8,4.6,74,8.8,4,72,130,9,24.1,101.99
"43",43,"Queen of Surrey","Horseshoe Bay","Langdale","17:50",27,"November","Monday",17,2,8.1,6,87,8.5,5.2,79,130,17,24.1,101.97
"44",44,"Queen of Surrey","Horseshoe Bay","Langdale","19:50",27,"November","Monday",19,2.2,7.3,6.2,92,8,5.3,83,120,17,24.1,101.88
"45",45,"Queen of Surrey","Horseshoe Bay","Langdale","21:45",27,"November","Monday",21,3,7.5,6,90,8.1,5.2,82,110,14,24.1,101.78
"46",46,"Queen of Surrey","Langdale","Horseshoe Bay","06:20",27,"November","Monday",6,1,5.5,4.7,95,7.3,5,85,250,14,24.1,101.41
"47",47,"Queen of Surrey","Langdale","Horseshoe Bay","08:25",27,"November","Monday",8,1,4.9,4.3,96,7.4,5.1,85,260,14,24.1,101.61
"48",48,"Queen of Surrey","Langdale","Horseshoe Bay","10:25",27,"November","Monday",10,1,7.8,6.2,89,8,4.1,76,220,13,24.1,101.77
"49",49,"Queen of Surrey","Langdale","Horseshoe Bay","12:35",27,"November","Monday",12,1.8,8.4,5.9,84,8.7,4.5,75,220,9,24.1,101.88
"50",50,"Queen of Surrey","Langdale","Horseshoe Bay","14:45",27,"November","Monday",14,1,8.9,5.9,82,8.7,2.6,65,210,6,24.1,101.94
"51",51,"Queen of Surrey","Langdale","Horseshoe Bay","16:50",27,"November","Monday",16,5,8.5,4.4,75,8.8,5.4,79,130,10,24.1,101.99
"52",52,"Queen of Surrey","Langdale","Horseshoe Bay","18:50",27,"November","Monday",18,1,7.7,5.9,88,8.3,5,80,120,16,24.1,101.92
"53",53,"Queen of Surrey","Langdale","Horseshoe Bay","20:45",27,"November","Monday",20,2,7.2,5.9,91,8.3,5.4,82,120,15,24.1,101.88
"54",54,"Coastal Celebration","Tsawwassen","Swartz Bay","07:00",28,"November","Tuesday",7,1,6.5,5.5,93,8.6,5.2,79,130,11,24.1,101.02
"55",55,"Spirit of Vancouver Island","Tsawwassen","Swartz Bay","09:00",28,"November","Tuesday",9,1,6.2,5.3,94,7.8,5.5,85,300,11,16.1,101.21
"56",56,"Coastal Celebration","Tsawwassen","Swartz Bay","11:00",28,"November","Tuesday",11,1,5.5,4.3,92,6.6,4.7,87,240,17,19.3,101.37
"57",57,"Spirit of Vancouver Island","Tsawwassen","Swartz Bay","13:00",28,"November","Tuesday",13,2,6.2,4.9,92,6.4,3.8,83,220,19,24.1,101.3
"58",58,"Coastal Celebration","Tsawwassen","Swartz Bay","15:00",28,"November","Tuesday",15,1,6.5,5.5,93,7.6,3.2,73,270,12,24.1,101.43
"59",59,"Spirit of Vancouver Island","Tsawwassen","Swartz Bay","17:00",28,"November","Tuesday",17,5,6.7,5.7,94,7.3,4,79,260,17,24.1,101.6
"60",60,"Coastal Celebration","Tsawwassen","Swartz Bay","19:00",28,"November","Tuesday",19,3.4,6.9,5.9,93,7.3,4.2,80,270,14,24.1,101.75
"61",61,"Spirit of Vancouver Island","Tsawwassen","Swartz Bay","21:00",28,"November","Tuesday",21,1,6.3,5.5,95,7.5,4.8,83,260,14,24.1,101.95
"62",62,"Salish Eagle","Tsawwassen","Southern Gulf Islands","09:55",28,"November","Tuesday",9,1,6.2,5.3,94,7.8,5.5,85,300,11,16.1,101.21
"63",63,"Salish Eagle","Tsawwassen","Southern Gulf Islands","19:15",28,"November","Tuesday",19,1,6.9,5.9,93,7.3,4.2,80,270,14,24.1,101.75
"64",64,"Queen of New Westminster","Tsawwassen","Duke Point","05:15",28,"November","Tuesday",5,1,6.5,5.5,93,2,1.3,95,260,10,8.1,101.74
"65",65,"Queen of Coquitlam","Tsawwassen","Duke Point","07:45",28,"November","Tuesday",7,1,6.5,5.5,93,8.6,5.2,79,130,11,24.1,101.02
"66",66,"Queen of New Westminster","Tsawwassen","Duke Point","10:15",28,"November","Tuesday",10,1,5.9,5,94,7.6,5.3,85,230,21,16.1,101.34
"67",67,"Queen of Coquitlam","Tsawwassen","Duke Point","12:45",28,"November","Tuesday",12,4,5.7,4.5,92,6.4,3.5,82,250,18,24.1,101.33
"68",68,"Queen of New Westminster","Tsawwassen","Duke Point","15:15",28,"November","Tuesday",15,1,6.5,5.5,93,7.6,3.2,73,270,12,24.1,101.43
"69",69,"Queen of Coquitlam","Tsawwassen","Duke Point","17:45",28,"November","Tuesday",17,1,6.7,5.7,94,7.3,4,79,260,17,24.1,101.6
"70",70,"Queen of New Westminster","Tsawwassen","Duke Point","20:15",28,"November","Tuesday",20,1.2,6.8,5.6,93,7.8,4.1,77,250,20,24.1,101.87
"71",71,"Queen of Cowichan","Tsawwassen","Duke Point","22:30",28,"November","Tuesday",22,1.6,6.3,5.6,95,6.4,5.4,91,190,24,24.1,102.32
"72",72,"Queen of Coquitlam","Tsawwassen","Duke Point","22:45",28,"November","Tuesday",22,2,6.3,5.6,95,7.7,5,83,360,13,24.1,101.43
"73",73,"Skeena Queen","Swartz Bay","Fulford Harbour (Saltspring Is.)","07:00",28,"November","Tuesday",7,1,6.5,5.5,93,8.6,5.2,79,130,11,24.1,101.02
"74",74,"Skeena Queen","Swartz Bay","Fulford Harbour (Saltspring Is.)","09:00",28,"November","Tuesday",9,1,6.2,5.3,94,7.8,5.5,85,300,11,16.1,101.21
"75",75,"Skeena Queen","Swartz Bay","Fulford Harbour (Saltspring Is.)","11:00",28,"November","Tuesday",11,1,5.5,4.3,92,6.6,4.7,87,240,17,19.3,101.37
"76",76,"Skeena Queen","Swartz Bay","Fulford Harbour (Saltspring Is.)","13:00",28,"November","Tuesday",13,2,6.2,4.9,92,6.4,3.8,83,220,19,24.1,101.3
"77",77,"Skeena Queen","Swartz Bay","Fulford Harbour (Saltspring Is.)","15:00",28,"November","Tuesday",15,1,6.5,5.5,93,7.6,3.2,73,270,12,24.1,101.43
"78",78,"Skeena Queen","Swartz Bay","Fulford Harbour (Saltspring Is.)","17:00",28,"November","Tuesday",17,5,6.7,5.7,94,7.3,4,79,260,17,24.1,101.6
"79",79,"Skeena Queen","Swartz Bay","Fulford Harbour (Saltspring Is.)","19:00",28,"November","Tuesday",19,3.4,6.9,5.9,93,7.3,4.2,80,270,14,24.1,101.75
"80",80,"Skeena Queen","Swartz Bay","Fulford Harbour (Saltspring Is.)","21:00",28,"November","Tuesday",21,1,6.3,5.5,95,7.5,4.8,83,260,14,24.1,101.95
"81",81,"Mayne Queen","Swartz Bay","Southern Gulf Islands","05:00",28,"November","Tuesday",5,1,6.5,5.5,93,4.7,1.6,81,350,5,24.1,101.91
"82",82,"Queen of Cumberland","Swartz Bay","Southern Gulf Islands","05:05",28,"November","Tuesday",5,1,6.5,5.5,93,2.6,-4.7,60,350,8,24.1,102.3
"83",83,"Queen of Cumberland","Swartz Bay","Southern Gulf Islands","08:15",28,"November","Tuesday",8,1.8,6.2,5.3,94,8.6,5.6,82,280,7,24.1,101.11
"84",84,"Mayne Queen","Swartz Bay","Southern Gulf Islands","09:10",28,"November","Tuesday",9,1,6.2,5.3,94,7.8,5.5,85,300,11,16.1,101.21
"85",85,"Queen of Cumberland","Swartz Bay","Southern Gulf Islands","10:10",28,"November","Tuesday",10,1,5.9,5,94,7.6,5.3,85,230,21,16.1,101.34
"86",86,"Queen of Cumberland","Swartz Bay","Southern Gulf Islands","14:20",28,"November","Tuesday",14,1,6.3,5,91,6.7,3.9,82,230,8,24.1,101.32
"87",87,"Mayne Queen","Swartz Bay","Southern Gulf Islands","15:10",28,"November","Tuesday",15,1,6.5,5.5,93,7.6,3.2,73,270,12,24.1,101.43
"88",88,"Queen of Cumberland","Swartz Bay","Southern Gulf Islands","16:20",28,"November","Tuesday",16,4.6,6.5,5.5,93,7.8,3.1,72,270,20,24.1,101.52
"89",89,"Queen of Cumberland","Swartz Bay","Southern Gulf Islands","18:40",28,"November","Tuesday",18,3,6.9,5.9,94,7.2,4.3,82,260,15,24.1,101.69
"90",90,"Mayne Queen","Swartz Bay","Southern Gulf Islands","19:55",28,"November","Tuesday",19,1,6.9,5.9,93,7.3,4.2,80,270,14,24.1,101.75
"91",91,"Spirit of Vancouver Island","Swartz Bay","Tsawwassen","07:00",28,"November","Tuesday",7,1,6.5,5.5,93,8.6,5.2,79,130,11,24.1,101.02
"92",92,"Coastal Celebration","Swartz Bay","Tsawwassen","09:00",28,"November","Tuesday",9,1,6.2,5.3,94,7.8,5.5,85,300,11,16.1,101.21
"93",93,"Spirit of Vancouver Island","Swartz Bay","Tsawwassen","11:00",28,"November","Tuesday",11,1,5.5,4.3,92,6.6,4.7,87,240,17,19.3,101.37
"94",94,"Coastal Celebration","Swartz Bay","Tsawwassen","13:00",28,"November","Tuesday",13,2,6.2,4.9,92,6.4,3.8,83,220,19,24.1,101.3
"95",95,"Spirit of Vancouver Island","Swartz Bay","Tsawwassen","15:00",28,"November","Tuesday",15,1,6.5,5.5,93,7.6,3.2,73,270,12,24.1,101.43
"96",96,"Coastal Celebration","Swartz Bay","Tsawwassen","17:00",28,"November","Tuesday",17,5,6.7,5.7,94,7.3,4,79,260,17,24.1,101.6
"97",97,"Spirit of Vancouver Island","Swartz Bay","Tsawwassen","19:00",28,"November","Tuesday",19,3.4,6.9,5.9,93,7.3,4.2,80,270,14,24.1,101.75
"98",98,"Coastal Celebration","Swartz Bay","Tsawwassen","21:00",28,"November","Tuesday",21,1,6.3,5.5,95,7.5,4.8,83,260,14,24.1,101.95
"99",99,"Queen of Coquitlam","Duke Point","Tsawwassen","05:15",28,"November","Tuesday",5,1,6.5,5.5,93,4.7,3.5,92,250,10,9.7,101.75
"100",100,"Queen of New Westminster","Duke Point","Tsawwassen","07:45",28,"November","Tuesday",7,1,6.5,5.5,93,8.6,5.2,79,130,11,24.1,101.02
"101",101,"Queen of Coquitlam","Duke Point","Tsawwassen","10:15",28,"November","Tuesday",10,1,5.9,5,94,7.6,5.3,85,230,21,16.1,101.34
"102",102,"Queen of New Westminster","Duke Point","Tsawwassen","12:45",28,"November","Tuesday",12,4,5.7,4.5,92,6.4,3.5,82,250,18,24.1,101.33
"103",103,"Queen of Coquitlam","Duke Point","Tsawwassen","15:15",28,"November","Tuesday",15,1,6.5,5.5,93,7.6,3.2,73,270,12,24.1,101.43
"104",104,"Queen of New Westminster","Duke Point","Tsawwassen","17:45",28,"November","Tuesday",17,1,6.7,5.7,94,7.3,4,79,260,17,24.1,101.6
"105",105,"Queen of Coquitlam","Duke Point","Tsawwassen","20:15",28,"November","Tuesday",20,1.2,6.8,5.6,93,7.8,4.1,77,250,20,24.1,101.87
"106",106,"Queen of New Westminster","Duke Point","Tsawwassen","22:45",28,"November","Tuesday",22,2,6.3,5.6,95,5,4.9,96,340,15,16.1,101.15
"107",107,"Queen of Cowichan","Departure Bay","Horseshoe Bay","06:30",28,"November","Tuesday",6,2,6.4,5.5,94,6.9,5.5,91,340,5,24.1,101.08
"108",108,"Queen of Oak Bay","Departure Bay","Horseshoe Bay","08:30",28,"November","Tuesday",8,1,6.2,5.3,94,8.6,5.6,82,280,7,24.1,101.11
"109",109,"Queen of Cowichan","Departure Bay","Horseshoe Bay","10:30",28,"November","Tuesday",10,1,5.9,5,94,7.6,5.3,85,230,21,16.1,101.34
"110",110,"Queen of Oak Bay","Departure Bay","Horseshoe Bay","12:30",28,"November","Tuesday",12,1,5.7,4.5,92,6.4,3.5,82,250,18,24.1,101.33
"111",111,"Queen of Cowichan","Departure Bay","Horseshoe Bay","15:00",28,"November","Tuesday",15,1,6.5,5.5,93,7.6,3.2,73,270,12,24.1,101.43
"112",112,"Queen of Oak Bay","Departure Bay","Horseshoe Bay","17:00",28,"November","Tuesday",17,5,6.7,5.7,94,7.3,4,79,260,17,24.1,101.6
"113",113,"Queen of Oak Bay","Departure Bay","Horseshoe Bay","21:00",28,"November","Tuesday",21,1,6.3,5.5,95,7.5,4.8,83,260,14,24.1,101.95
"114",114,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","06:00",28,"November","Tuesday",6,1,6.4,5.5,94,6.9,5.5,91,340,5,24.1,101.08
"115",115,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","07:00",28,"November","Tuesday",7,1,6.5,5.5,93,8.6,5.2,79,130,11,24.1,101.02
"116",116,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","08:00",28,"November","Tuesday",8,1,6.2,5.3,94,8.6,5.6,82,280,7,24.1,101.11
"117",117,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","09:00",28,"November","Tuesday",9,1,6.2,5.3,94,7.8,5.5,85,300,11,16.1,101.21
"118",118,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","10:00",28,"November","Tuesday",10,1,5.9,5,94,7.6,5.3,85,230,21,16.1,101.34
"119",119,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","10:00",28,"November","Tuesday",10,1,5.9,5,94,7.6,5.3,85,230,21,16.1,101.34
"120",120,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","12:00",28,"November","Tuesday",12,1,5.7,4.5,92,6.4,3.5,82,250,18,24.1,101.33
"121",121,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","14:25",28,"November","Tuesday",14,1,6.3,5,91,6.7,3.9,82,230,8,24.1,101.32
"122",122,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","15:30",28,"November","Tuesday",15,2,6.5,5.5,93,7.6,3.2,73,270,12,24.1,101.43
"123",123,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","16:30",28,"November","Tuesday",16,5,6.5,5.5,93,7.8,3.1,72,270,20,24.1,101.52
"124",124,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","17:30",28,"November","Tuesday",17,2,6.7,5.7,94,7.3,4,79,260,17,24.1,101.6
"125",125,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","18:30",28,"November","Tuesday",18,3.66666666666667,6.9,5.9,94,7.2,4.3,82,260,15,24.1,101.69
"126",126,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","19:30",28,"November","Tuesday",19,1.2,6.9,5.9,93,7.3,4.2,80,270,14,24.1,101.75
"127",127,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","20:30",28,"November","Tuesday",20,2.6,6.8,5.6,93,7.8,4.1,77,250,20,24.1,101.87
"128",128,"Queen of Capilano","Horseshoe Bay","Snug Cove (Bowen Is.)","21:30",28,"November","Tuesday",21,1,6.3,5.5,95,7.5,4.8,83,260,14,24.1,101.95
"129",129,"Queen of Oak Bay","Horseshoe Bay","Departure Bay","06:30",28,"November","Tuesday",6,2,6.4,5.5,94,6.9,5.5,91,340,5,24.1,101.08
"130",130,"Queen of Cowichan","Horseshoe Bay","Departure Bay","08:30",28,"November","Tuesday",8,1,6.2,5.3,94,8.6,5.6,82,280,7,24.1,101.11
"131",131,"Queen of Oak Bay","Horseshoe Bay","Departure Bay","10:30",28,"November","Tuesday",10,1,5.9,5,94,7.6,5.3,85,230,21,16.1,101.34
"132",132,"Queen of Cowichan","Horseshoe Bay","Departure Bay","12:30",28,"November","Tuesday",12,1,5.7,4.5,92,6.4,3.5,82,250,18,24.1,101.33
"133",133,"Queen of Oak Bay","Horseshoe Bay","Departure Bay","15:00",28,"November","Tuesday",15,1,6.5,5.5,93,7.6,3.2,73,270,12,24.1,101.43
"134",134,"Queen of Cowichan","Horseshoe Bay","Departure Bay","17:00",28,"November","Tuesday",17,5,6.7,5.7,94,7.3,4,79,260,17,24.1,101.6
"135",135,"Queen of Oak Bay","Horseshoe Bay","Departure Bay","19:00",28,"November","Tuesday",19,3.4,6.9,5.9,93,7.3,4.2,80,270,14,24.1,101.75
"136",136,"Queen of Surrey","Horseshoe Bay","Langdale","07:20",28,"November","Tuesday",7,1,6.5,5.5,93,8.6,5.2,79,130,11,24.1,101.02
"137",137,"Queen of Surrey","Horseshoe Bay","Langdale","09:25",28,"November","Tuesday",9,1,6.2,5.3,94,7.8,5.5,85,300,11,16.1,101.21
"138",138,"Queen of Surrey","Horseshoe Bay","Langdale","11:30",28,"November","Tuesday",11,1,5.5,4.3,92,6.6,4.7,87,240,17,19.3,101.37
"139",139,"Queen of Surrey","Horseshoe Bay","Langdale","13:35",28,"November","Tuesday",13,1,6.2,4.9,92,6.4,3.8,83,220,19,24.1,101.3
"140",140,"Queen of Surrey","Horseshoe Bay","Langdale","15:50",28,"November","Tuesday",15,2,6.5,5.5,93,7.6,3.2,73,270,12,24.1,101.43
"141",141,"Queen of Surrey","Horseshoe Bay","Langdale","17:50",28,"November","Tuesday",17,1.6,6.7,5.7,94,7.3,4,79,260,17,24.1,101.6
"142",142,"Queen of Surrey","Horseshoe Bay","Langdale","19:50",28,"November","Tuesday",19,1,6.9,5.9,93,7.3,4.2,80,270,14,24.1,101.75
"143",143,"Queen of Surrey","Horseshoe Bay","Langdale","21:45",28,"November","Tuesday",21,2,6.3,5.5,95,7.5,4.8,83,260,14,24.1,101.95
"144",144,"Queen of Surrey","Langdale","Horseshoe Bay","06:20",28,"November","Tuesday",6,1,6.4,5.5,94,6.9,5.5,91,340,5,24.1,101.08
"145",145,"Queen of Surrey","Langdale","Horseshoe Bay","08:25",28,"November","Tuesday",8,1.8,6.2,5.3,94,8.6,5.6,82,280,7,24.1,101.11
"146",146,"Queen of Surrey","Langdale","Horseshoe Bay","10:25",28,"November","Tuesday",10,1,5.9,5,94,7.6,5.3,85,230,21,16.1,101.34
"147",147,"Queen of Surrey","Langdale","Horseshoe Bay","12:35",28,"November","Tuesday",12,1.16666666666667,5.7,4.5,92,6.4,3.5,82,250,18,24.1,101.33
"148",148,"Queen of Surrey","Langdale","Horseshoe Bay","14:45",28,"November","Tuesday",14,1,6.3,5,91,6.7,3.9,82,230,8,24.1,101.32
"149",149,"Queen of Surrey","Langdale","Horseshoe Bay","16:50",28,"November","Tuesday",16,5,6.5,5.5,93,7.8,3.1,72,270,20,24.1,101.52
"150",150,"Queen of Surrey","Langdale","Horseshoe Bay","18:50",28,"November","Tuesday",18,3.8,6.9,5.9,94,7.2,4.3,82,260,15,24.1,101.69
"151",151,"Queen of Surrey","Langdale","Horseshoe Bay","20:45",28,"November","Tuesday",20,1,6.8,5.6,93,7.8,4.1,77,250,20,24.1,101.87
"152",152,"Coastal Celebration","Tsawwassen","Swartz Bay","07:00",29,"November","Wednesday",7,1,5.6,4.6,93,7.1,4.8,85,140,12,24.1,102.72
"153",153,"Spirit of Vancouver Island","Tsawwassen","Swartz Bay","09:00",29,"November","Wednesday",9,1,6.3,5.2,93,7.2,3.9,80,160,14,24.1,102.79
"154",154,"Coastal Celebration","Tsawwassen","Swartz Bay","11:00",29,"November","Wednesday",11,1,6.7,5.7,93,7.2,5,86,110,10,24.1,102.88
"155",155,"Spirit of Vancouver Island","Tsawwassen","Swartz Bay","13:00",29,"November","Wednesday",13,1,7.2,6,93,7.1,4.8,85,110,15,24.1,102.82
"156",156,"Coastal Celebration","Tsawwassen","Swartz Bay","15:00",29,"November","Wednesday",15,1,7,6.3,95,8.1,5.3,83,120,9,24.1,102.71
"157",157,"Spirit of Vancouver Island","Tsawwassen","Swartz Bay","17:00",29,"November","Wednesday",17,3,7,6.1,94,8.2,6.1,86,110,7,24.1,102.6
"158",158,"Coastal Celebration","Tsawwassen","Swartz Bay","19:00",29,"November","Wednesday",19,1.8,6.6,5.5,93,8.3,6.2,86,120,8,24.1,102.45
"159",159,"Spirit of Vancouver Island","Tsawwassen","Swartz Bay","21:00",29,"November","Wednesday",21,1,6.6,5.8,95,8.2,5.7,85,360,3,24.1,102.37
"160",160,"Salish Eagle","Tsawwassen","Southern Gulf Islands","09:55",29,"November","Wednesday",9,1,6.3,5.2,93,7.2,3.9,80,160,14,24.1,102.79
"161",161,"Salish Eagle","Tsawwassen","Southern Gulf Islands","19:15",29,"November","Wednesday",19,3,6.6,5.5,93,8.3,6.2,86,120,8,24.1,102.45
