"","ID","Departure","Arrival","Minutes","Day_of_Month","Month","Day","Hour","Traffic","Van_Temp_Cel","Van_Dew_Point_Temp_Cel","Van_Relative_Humidity_Per","Vic_Temp_Cel","Vic_Dew_Point_Temp_Cel","Vic_Relative_Humidity_Per","Vic_Wind_Direct_Deg","Vic_Wind_Speed","Vic_Visibility","Vic_Station_Pressure"
"33",33,"Horseshoe Bay","Departure Bay","30","27","November","Monday","10","1",7.8,6.2,89,8,4.1,76,220,13,24.1,101.77
"34",34,"Horseshoe Bay","Departure Bay","30","27","November","Monday","12","2",8.4,5.9,84,8.7,4.5,75,220,9,24.1,101.88
"35",35,"Horseshoe Bay","Departure Bay","0","27","November","Monday","15","1",8.8,4.6,74,8.8,4,72,130,9,24.1,101.99
"36",36,"Horseshoe Bay","Departure Bay","0","27","November","Monday","17","5",8.1,6,87,8.5,5.2,79,130,17,24.1,101.97
"37",37,"Horseshoe Bay","Departure Bay","0","27","November","Monday","19","1",7.3,6.2,92,8,5.3,83,120,17,24.1,101.88
"38",38,"Horseshoe Bay","Langdale","20","27","November","Monday","7","1",5.3,4.6,96,7.4,4.8,84,240,16,24.1,101.51
"39",39,"Horseshoe Bay","Langdale","25","27","November","Monday","9","1",7.3,5.8,91,7.8,5.3,84,230,16,24.1,101.66
"40",40,"Horseshoe Bay","Langdale","30","27","November","Monday","11","1",9.1,6.7,85,8.5,4.4,75,240,15,24.1,101.85
"41",41,"Horseshoe Bay","Langdale","35","27","November","Monday","13","1",9.1,5.8,80,9,4.2,72,200,6,24.1,101.91
"42",42,"Horseshoe Bay","Langdale","50","27","November","Monday","15","2",8.8,4.6,74,8.8,4,72,130,9,24.1,101.99
"43",43,"Horseshoe Bay","Langdale","50","27","November","Monday","17","2",8.1,6,87,8.5,5.2,79,130,17,24.1,101.97
"44",44,"Horseshoe Bay","Langdale","50","27","November","Monday","19","2",7.3,6.2,92,8,5.3,83,120,17,24.1,101.88
"45",45,"Horseshoe Bay","Langdale","45","27","November","Monday","21","3",7.5,6,90,8.1,5.2,82,110,14,24.1,101.78
"46",46,"Langdale","Horseshoe Bay","20","27","November","Monday","6","1",5.5,4.7,95,7.3,5,85,250,14,24.1,101.41
"47",47,"Langdale","Horseshoe Bay","25","27","November","Monday","8","1",4.9,4.3,96,7.4,5.1,85,260,14,24.1,101.61
"48",48,"Langdale","Horseshoe Bay","25","27","November","Monday","10","1",7.8,6.2,89,8,4.1,76,220,13,24.1,101.77
"49",49,"Langdale","Horseshoe Bay","35","27","November","Monday","12","2",8.4,5.9,84,8.7,4.5,75,220,9,24.1,101.88
"50",50,"Langdale","Horseshoe Bay","45","27","November","Monday","14","1",8.9,5.9,82,8.7,2.6,65,210,6,24.1,101.94
"51",51,"Langdale","Horseshoe Bay","50","27","November","Monday","16","5",8.5,4.4,75,8.8,5.4,79,130,10,24.1,101.99
"52",52,"Langdale","Horseshoe Bay","50","27","November","Monday","18","1",7.7,5.9,88,8.3,5,80,120,16,24.1,101.92
"53",53,"Langdale","Horseshoe Bay","45","27","November","Monday","20","2",7.2,5.9,91,8.3,5.4,82,120,15,24.1,101.88
"54",54,"Tsawwassen","Swartz Bay","0","28","November","Tuesday","7","1",6.5,5.5,93,8.6,5.2,79,130,11,24.1,101.02
"55",55,"Tsawwassen","Swartz Bay","0","28","November","Tuesday","9","1",6.2,5.3,94,7.8,5.5,85,300,11,16.1,101.21
"56",56,"Tsawwassen","Swartz Bay","0","28","November","Tuesday","11","1",5.5,4.3,92,6.6,4.7,87,240,17,19.3,101.37
"57",57,"Tsawwassen","Swartz Bay","0","28","November","Tuesday","13","2",6.2,4.9,92,6.4,3.8,83,220,19,24.1,101.3
"58",58,"Tsawwassen","Swartz Bay","0","28","November","Tuesday","15","1",6.5,5.5,93,7.6,3.2,73,270,12,24.1,101.43
"59",59,"Tsawwassen","Swartz Bay","0","28","November","Tuesday","17","5",6.7,5.7,94,7.3,4,79,260,17,24.1,101.6
"60",60,"Tsawwassen","Swartz Bay","0","28","November","Tuesday","19","3",6.9,5.9,93,7.3,4.2,80,270,14,24.1,101.75
"61",61,"Tsawwassen","Swartz Bay","0","28","November","Tuesday","21","1",6.3,5.5,95,7.5,4.8,83,260,14,24.1,101.95
"62",62,"Tsawwassen","Southern Gulf Islands","55","28","November","Tuesday","9","1",6.2,5.3,94,7.8,5.5,85,300,11,16.1,101.21
"63",63,"Tsawwassen","Southern Gulf Islands","15","28","November","Tuesday","19","1",6.9,5.9,93,7.3,4.2,80,270,14,24.1,101.75
"64",64,"Tsawwassen","Duke Point","15","28","November","Tuesday","5","1",6.5,5.5,93,2,1.3,95,260,10,8.1,101.74
"65",65,"Tsawwassen","Duke Point","45","28","November","Tuesday","7","1",6.5,5.5,93,8.6,5.2,79,130,11,24.1,101.02
"66",66,"Tsawwassen","Duke Point","15","28","November","Tuesday","10","1",5.9,5,94,7.6,5.3,85,230,21,16.1,101.34
"67",67,"Tsawwassen","Duke Point","45","28","November","Tuesday","12","4",5.7,4.5,92,6.4,3.5,82,250,18,24.1,101.33
"68",68,"Tsawwassen","Duke Point","15","28","November","Tuesday","15","1",6.5,5.5,93,7.6,3.2,73,270,12,24.1,101.43
"69",69,"Tsawwassen","Duke Point","45","28","November","Tuesday","17","1",6.7,5.7,94,7.3,4,79,260,17,24.1,101.6
"70",70,"Tsawwassen","Duke Point","15","28","November","Tuesday","20","1",6.8,5.6,93,7.8,4.1,77,250,20,24.1,101.87
"71",71,"Tsawwassen","Duke Point","30","28","November","Tuesday","22","2",6.3,5.6,95,6.4,5.4,91,190,24,24.1,102.32
"72",72,"Tsawwassen","Duke Point","45","28","November","Tuesday","22","2",6.3,5.6,95,7.7,5,83,360,13,24.1,101.43
"73",73,"Swartz Bay","Fulford Harbour (Saltspring Is.)","0","28","November","Tuesday","7","1",6.5,5.5,93,8.6,5.2,79,130,11,24.1,101.02
"74",74,"Swartz Bay","Fulford Harbour (Saltspring Is.)","0","28","November","Tuesday","9","1",6.2,5.3,94,7.8,5.5,85,300,11,16.1,101.21
"75",75,"Swartz Bay","Fulford Harbour (Saltspring Is.)","0","28","November","Tuesday","11","1",5.5,4.3,92,6.6,4.7,87,240,17,19.3,101.37
"76",76,"Swartz Bay","Fulford Harbour (Saltspring Is.)","0","28","November","Tuesday","13","2",6.2,4.9,92,6.4,3.8,83,220,19,24.1,101.3
"77",77,"Swartz Bay","Fulford Harbour (Saltspring Is.)","0","28","November","Tuesday","15","1",6.5,5.5,93,7.6,3.2,73,270,12,24.1,101.43
"78",78,"Swartz Bay","Fulford Harbour (Saltspring Is.)","0","28","November","Tuesday","17","5",6.7,5.7,94,7.3,4,79,260,17,24.1,101.6
"79",79,"Swartz Bay","Fulford Harbour (Saltspring Is.)","0","28","November","Tuesday","19","3",6.9,5.9,93,7.3,4.2,80,270,14,24.1,101.75
"80",80,"Swartz Bay","Fulford Harbour (Saltspring Is.)","0","28","November","Tuesday","21","1",6.3,5.5,95,7.5,4.8,83,260,14,24.1,101.95
"81",81,"Swartz Bay","Southern Gulf Islands","0","28","November","Tuesday","5","1",6.5,5.5,93,4.7,1.6,81,350,5,24.1,101.91
"82",82,"Swartz Bay","Southern Gulf Islands","5","28","November","Tuesday","5","1",6.5,5.5,93,2.6,-4.7,60,350,8,24.1,102.3
"83",83,"Swartz Bay","Southern Gulf Islands","15","28","November","Tuesday","8","2",6.2,5.3,94,8.6,5.6,82,280,7,24.1,101.11
"84",84,"Swartz Bay","Southern Gulf Islands","10","28","November","Tuesday","9","1",6.2,5.3,94,7.8,5.5,85,300,11,16.1,101.21
"85",85,"Swartz Bay","Southern Gulf Islands","10","28","November","Tuesday","10","1",5.9,5,94,7.6,5.3,85,230,21,16.1,101.34
"86",86,"Swartz Bay","Southern Gulf Islands","20","28","November","Tuesday","14","1",6.3,5,91,6.7,3.9,82,230,8,24.1,101.32
"87",87,"Swartz Bay","Southern Gulf Islands","10","28","November","Tuesday","15","1",6.5,5.5,93,7.6,3.2,73,270,12,24.1,101.43
"88",88,"Swartz Bay","Southern Gulf Islands","20","28","November","Tuesday","16","5",6.5,5.5,93,7.8,3.1,72,270,20,24.1,101.52
"89",89,"Swartz Bay","Southern Gulf Islands","40","28","November","Tuesday","18","3",6.9,5.9,94,7.2,4.3,82,260,15,24.1,101.69
"90",90,"Swartz Bay","Southern Gulf Islands","55","28","November","Tuesday","19","1",6.9,5.9,93,7.3,4.2,80,270,14,24.1,101.75
"91",91,"Swartz Bay","Tsawwassen","0","28","November","Tuesday","7","1",6.5,5.5,93,8.6,5.2,79,130,11,24.1,101.02
"92",92,"Swartz Bay","Tsawwassen","0","28","November","Tuesday","9","1",6.2,5.3,94,7.8,5.5,85,300,11,16.1,101.21
"93",93,"Swartz Bay","Tsawwassen","0","28","November","Tuesday","11","1",5.5,4.3,92,6.6,4.7,87,240,17,19.3,101.37
"94",94,"Swartz Bay","Tsawwassen","0","28","November","Tuesday","13","2",6.2,4.9,92,6.4,3.8,83,220,19,24.1,101.3
"95",95,"Swartz Bay","Tsawwassen","0","28","November","Tuesday","15","1",6.5,5.5,93,7.6,3.2,73,270,12,24.1,101.43
"96",96,"Swartz Bay","Tsawwassen","0","28","November","Tuesday","17","5",6.7,5.7,94,7.3,4,79,260,17,24.1,101.6
"97",97,"Swartz Bay","Tsawwassen","0","28","November","Tuesday","19","3",6.9,5.9,93,7.3,4.2,80,270,14,24.1,101.75
"98",98,"Swartz Bay","Tsawwassen","0","28","November","Tuesday","21","1",6.3,5.5,95,7.5,4.8,83,260,14,24.1,101.95
"99",99,"Duke Point","Tsawwassen","15","28","November","Tuesday","5","1",6.5,5.5,93,4.7,3.5,92,250,10,9.7,101.75
"100",100,"Duke Point","Tsawwassen","45","28","November","Tuesday","7","1",6.5,5.5,93,8.6,5.2,79,130,11,24.1,101.02
"101",101,"Duke Point","Tsawwassen","15","28","November","Tuesday","10","1",5.9,5,94,7.6,5.3,85,230,21,16.1,101.34
"102",102,"Duke Point","Tsawwassen","45","28","November","Tuesday","12","4",5.7,4.5,92,6.4,3.5,82,250,18,24.1,101.33
"103",103,"Duke Point","Tsawwassen","15","28","November","Tuesday","15","1",6.5,5.5,93,7.6,3.2,73,270,12,24.1,101.43
"104",104,"Duke Point","Tsawwassen","45","28","November","Tuesday","17","1",6.7,5.7,94,7.3,4,79,260,17,24.1,101.6
"105",105,"Duke Point","Tsawwassen","15","28","November","Tuesday","20","1",6.8,5.6,93,7.8,4.1,77,250,20,24.1,101.87
"106",106,"Duke Point","Tsawwassen","45","28","November","Tuesday","22","2",6.3,5.6,95,5,4.9,96,340,15,16.1,101.15
"107",107,"Departure Bay","Horseshoe Bay","30","28","November","Tuesday","6","2",6.4,5.5,94,6.9,5.5,91,340,5,24.1,101.08
"108",108,"Departure Bay","Horseshoe Bay","30","28","November","Tuesday","8","1",6.2,5.3,94,8.6,5.6,82,280,7,24.1,101.11
"109",109,"Departure Bay","Horseshoe Bay","30","28","November","Tuesday","10","1",5.9,5,94,7.6,5.3,85,230,21,16.1,101.34
"110",110,"Departure Bay","Horseshoe Bay","30","28","November","Tuesday","12","1",5.7,4.5,92,6.4,3.5,82,250,18,24.1,101.33
"111",111,"Departure Bay","Horseshoe Bay","0","28","November","Tuesday","15","1",6.5,5.5,93,7.6,3.2,73,270,12,24.1,101.43
"112",112,"Departure Bay","Horseshoe Bay","0","28","November","Tuesday","17","5",6.7,5.7,94,7.3,4,79,260,17,24.1,101.6
"113",113,"Departure Bay","Horseshoe Bay","0","28","November","Tuesday","21","1",6.3,5.5,95,7.5,4.8,83,260,14,24.1,101.95
"114",114,"Horseshoe Bay","Snug Cove (Bowen Is.)","0","28","November","Tuesday","6","1",6.4,5.5,94,6.9,5.5,91,340,5,24.1,101.08
"115",115,"Horseshoe Bay","Snug Cove (Bowen Is.)","0","28","November","Tuesday","7","1",6.5,5.5,93,8.6,5.2,79,130,11,24.1,101.02
"116",116,"Horseshoe Bay","Snug Cove (Bowen Is.)","0","28","November","Tuesday","8","1",6.2,5.3,94,8.6,5.6,82,280,7,24.1,101.11
"117",117,"Horseshoe Bay","Snug Cove (Bowen Is.)","0","28","November","Tuesday","9","1",6.2,5.3,94,7.8,5.5,85,300,11,16.1,101.21
"118",118,"Horseshoe Bay","Snug Cove (Bowen Is.)","0","28","November","Tuesday","10","1",5.9,5,94,7.6,5.3,85,230,21,16.1,101.34
"119",119,"Horseshoe Bay","Snug Cove (Bowen Is.)","0","28","November","Tuesday","10","1",5.9,5,94,7.6,5.3,85,230,21,16.1,101.34
"120",120,"Horseshoe Bay","Snug Cove (Bowen Is.)","0","28","November","Tuesday","12","1",5.7,4.5,92,6.4,3.5,82,250,18,24.1,101.33
"121",121,"Horseshoe Bay","Snug Cove (Bowen Is.)","25","28","November","Tuesday","14","1",6.3,5,91,6.7,3.9,82,230,8,24.1,101.32
"122",122,"Horseshoe Bay","Snug Cove (Bowen Is.)","30","28","November","Tuesday","15","2",6.5,5.5,93,7.6,3.2,73,270,12,24.1,101.43
"123",123,"Horseshoe Bay","Snug Cove (Bowen Is.)","30","28","November","Tuesday","16","5",6.5,5.5,93,7.8,3.1,72,270,20,24.1,101.52
"124",124,"Horseshoe Bay","Snug Cove (Bowen Is.)","30","28","November","Tuesday","17","2",6.7,5.7,94,7.3,4,79,260,17,24.1,101.6
"125",125,"Horseshoe Bay","Snug Cove (Bowen Is.)","30","28","November","Tuesday","18","4",6.9,5.9,94,7.2,4.3,82,260,15,24.1,101.69
"126",126,"Horseshoe Bay","Snug Cove (Bowen Is.)","30","28","November","Tuesday","19","1",6.9,5.9,93,7.3,4.2,80,270,14,24.1,101.75
"127",127,"Horseshoe Bay","Snug Cove (Bowen Is.)","30","28","November","Tuesday","20","3",6.8,5.6,93,7.8,4.1,77,250,20,24.1,101.87
"128",128,"Horseshoe Bay","Snug Cove (Bowen Is.)","30","28","November","Tuesday","21","1",6.3,5.5,95,7.5,4.8,83,260,14,24.1,101.95
"129",129,"Horseshoe Bay","Departure Bay","30","28","November","Tuesday","6","2",6.4,5.5,94,6.9,5.5,91,340,5,24.1,101.08
"130",130,"Horseshoe Bay","Departure Bay","30","28","November","Tuesday","8","1",6.2,5.3,94,8.6,5.6,82,280,7,24.1,101.11
"131",131,"Horseshoe Bay","Departure Bay","30","28","November","Tuesday","10","1",5.9,5,94,7.6,5.3,85,230,21,16.1,101.34
"132",132,"Horseshoe Bay","Departure Bay","30","28","November","Tuesday","12","1",5.7,4.5,92,6.4,3.5,82,250,18,24.1,101.33
"133",133,"Horseshoe Bay","Departure Bay","0","28","November","Tuesday","15","1",6.5,5.5,93,7.6,3.2,73,270,12,24.1,101.43
"134",134,"Horseshoe Bay","Departure Bay","0","28","November","Tuesday","17","5",6.7,5.7,94,7.3,4,79,260,17,24.1,101.6
"135",135,"Horseshoe Bay","Departure Bay","0","28","November","Tuesday","19","3",6.9,5.9,93,7.3,4.2,80,270,14,24.1,101.75
"136",136,"Horseshoe Bay","Langdale","20","28","November","Tuesday","7","1",6.5,5.5,93,8.6,5.2,79,130,11,24.1,101.02
"137",137,"Horseshoe Bay","Langdale","25","28","November","Tuesday","9","1",6.2,5.3,94,7.8,5.5,85,300,11,16.1,101.21
"138",138,"Horseshoe Bay","Langdale","30","28","November","Tuesday","11","1",5.5,4.3,92,6.6,4.7,87,240,17,19.3,101.37
"139",139,"Horseshoe Bay","Langdale","35","28","November","Tuesday","13","1",6.2,4.9,92,6.4,3.8,83,220,19,24.1,101.3
"140",140,"Horseshoe Bay","Langdale","50","28","November","Tuesday","15","2",6.5,5.5,93,7.6,3.2,73,270,12,24.1,101.43
"141",141,"Horseshoe Bay","Langdale","50","28","November","Tuesday","17","2",6.7,5.7,94,7.3,4,79,260,17,24.1,101.6
"142",142,"Horseshoe Bay","Langdale","50","28","November","Tuesday","19","1",6.9,5.9,93,7.3,4.2,80,270,14,24.1,101.75
"143",143,"Horseshoe Bay","Langdale","45","28","November","Tuesday","21","2",6.3,5.5,95,7.5,4.8,83,260,14,24.1,101.95
"144",144,"Langdale","Horseshoe Bay","20","28","November","Tuesday","6","1",6.4,5.5,94,6.9,5.5,91,340,5,24.1,101.08
"145",145,"Langdale","Horseshoe Bay","25","28","November","Tuesday","8","2",6.2,5.3,94,8.6,5.6,82,280,7,24.1,101.11
"146",146,"Langdale","Horseshoe Bay","25","28","November","Tuesday","10","1",5.9,5,94,7.6,5.3,85,230,21,16.1,101.34
"147",147,"Langdale","Horseshoe Bay","35","28","November","Tuesday","12","1",5.7,4.5,92,6.4,3.5,82,250,18,24.1,101.33
"148",148,"Langdale","Horseshoe Bay","45","28","November","Tuesday","14","1",6.3,5,91,6.7,3.9,82,230,8,24.1,101.32
"149",149,"Langdale","Horseshoe Bay","50","28","November","Tuesday","16","5",6.5,5.5,93,7.8,3.1,72,270,20,24.1,101.52
"150",150,"Langdale","Horseshoe Bay","50","28","November","Tuesday","18","4",6.9,5.9,94,7.2,4.3,82,260,15,24.1,101.69
"151",151,"Langdale","Horseshoe Bay","45","28","November","Tuesday","20","1",6.8,5.6,93,7.8,4.1,77,250,20,24.1,101.87
"152",152,"Tsawwassen","Swartz Bay","0","29","November","Wednesday","7","1",5.6,4.6,93,7.1,4.8,85,140,12,24.1,102.72
"153",153,"Tsawwassen","Swartz Bay","0","29","November","Wednesday","9","1",6.3,5.2,93,7.2,3.9,80,160,14,24.1,102.79
"154",154,"Tsawwassen","Swartz Bay","0","29","November","Wednesday","11","1",6.7,5.7,93,7.2,5,86,110,10,24.1,102.88
"155",155,"Tsawwassen","Swartz Bay","0","29","November","Wednesday","13","1",7.2,6,93,7.1,4.8,85,110,15,24.1,102.82
"156",156,"Tsawwassen","Swartz Bay","0","29","November","Wednesday","15","1",7,6.3,95,8.1,5.3,83,120,9,24.1,102.71
"157",157,"Tsawwassen","Swartz Bay","0","29","November","Wednesday","17","3",7,6.1,94,8.2,6.1,86,110,7,24.1,102.6
"158",158,"Tsawwassen","Swartz Bay","0","29","November","Wednesday","19","2",6.6,5.5,93,8.3,6.2,86,120,8,24.1,102.45
"159",159,"Tsawwassen","Swartz Bay","0","29","November","Wednesday","21","1",6.6,5.8,95,8.2,5.7,85,360,3,24.1,102.37
"160",160,"Tsawwassen","Southern Gulf Islands","55","29","November","Wednesday","9","1",6.3,5.2,93,7.2,3.9,80,160,14,24.1,102.79
"161",161,"Tsawwassen","Southern Gulf Islands","15","29","November","Wednesday","19","3",6.6,5.5,93,8.3,6.2,86,120,8,24.1,102.45
"162",162,"Tsawwassen","Duke Point","15","29","November","Wednesday","5","1",5.4,4.5,94,9.1,5.6,77,290,22,24.1,102.15
"163",163,"Tsawwassen","Duke Point","45","29","November","Wednesday","7","1",5.6,4.6,93,7.1,4.8,85,140,12,24.1,102.72
"164",164,"Tsawwassen","Duke Point","15","29","November","Wednesday","10","1",6.8,5.5,92,7.1,4.4,82,130,9,24.1,102.88
"165",165,"Tsawwassen","Duke Point","45","29","November","Wednesday","12","2",6.8,5.9,94,6.8,4.8,87,110,12,24.1,102.88
"166",166,"Tsawwassen","Duke Point","15","29","November","Wednesday","15","2",7,6.3,95,8.1,5.3,83,120,9,24.1,102.71
"167",167,"Tsawwassen","Duke Point","45","29","November","Wednesday","17","1",7,6.1,94,8.2,6.1,86,110,7,24.1,102.6
"168",168,"Tsawwassen","Duke Point","15","29","November","Wednesday","20","1",6.7,6,95,8.2,5.4,83,170,4,24.1,102.4
"169",169,"Tsawwassen","Duke Point","30","29","November","Wednesday","22","2",6.7,5.8,94,4,4.3,98,260,8,24.1,103.1
"170",170,"Tsawwassen","Duke Point","45","29","November","Wednesday","22","1",6.7,5.8,94,9.1,4.5,73,20,20,24.1,102.29
"171",171,"Swartz Bay","Fulford Harbour (Saltspring Is.)","0","29","November","Wednesday","7","1",5.6,4.6,93,7.1,4.8,85,140,12,24.1,102.72
"172",172,"Swartz Bay","Fulford Harbour (Saltspring Is.)","0","29","November","Wednesday","9","1",6.3,5.2,93,7.2,3.9,80,160,14,24.1,102.79
"173",173,"Swartz Bay","Fulford Harbour (Saltspring Is.)","0","29","November","Wednesday","11","1",6.7,5.7,93,7.2,5,86,110,10,24.1,102.88
"174",174,"Swartz Bay","Fulford Harbour (Saltspring Is.)","0","29","November","Wednesday","13","1",7.2,6,93,7.1,4.8,85,110,15,24.1,102.82
"175",175,"Swartz Bay","Fulford Harbour (Saltspring Is.)","0","29","November","Wednesday","15","1",7,6.3,95,8.1,5.3,83,120,9,24.1,102.71
"176",176,"Swartz Bay","Fulford Harbour (Saltspring Is.)","0","29","November","Wednesday","17","3",7,6.1,94,8.2,6.1,86,110,7,24.1,102.6
"177",177,"Swartz Bay","Fulford Harbour (Saltspring Is.)","0","29","November","Wednesday","19","2",6.6,5.5,93,8.3,6.2,86,120,8,24.1,102.45
"178",178,"Swartz Bay","Fulford Harbour (Saltspring Is.)","0","29","November","Wednesday","21","1",6.6,5.8,95,8.2,5.7,85,360,3,24.1,102.37
"179",179,"Swartz Bay","Southern Gulf Islands","0","29","November","Wednesday","5","1",5.4,4.5,94,9.2,2.4,61,20,20,24.1,102.59
"180",180,"Swartz Bay","Southern Gulf Islands","5","29","November","Wednesday","5","1",5.4,4.5,94,6.7,5.5,90,360,9,16.1,102.48
"181",181,"Swartz Bay","Southern Gulf Islands","15","29","November","Wednesday","8","1",6.2,5.1,93,7.2,4.7,84,120,14,24.1,102.74
"182",182,"Swartz Bay","Southern Gulf Islands","10","29","November","Wednesday","9","1",6.3,5.2,93,7.2,3.9,80,160,14,24.1,102.79
"183",183,"Swartz Bay","Southern Gulf Islands","10","29","November","Wednesday","10","1",6.8,5.5,92,7.1,4.4,82,130,9,24.1,102.88
"184",184,"Swartz Bay","Southern Gulf Islands","20","29","November","Wednesday","14","2",7.1,6.2,94,7.7,5.2,84,110,12,24.1,102.78
"185",185,"Swartz Bay","Southern Gulf Islands","10","29","November","Wednesday","15","2",7,6.3,95,8.1,5.3,83,120,9,24.1,102.71
"186",186,"Swartz Bay","Southern Gulf Islands","20","29","November","Wednesday","16","2",7.2,6.3,94,8,5.4,84,90,3,24.1,102.65
"187",187,"Swartz Bay","Southern Gulf Islands","40","29","November","Wednesday","18","1",6.9,6,94,8.4,6.6,88,110,7,24.1,102.55
"188",188,"Swartz Bay","Southern Gulf Islands","55","29","November","Wednesday","19","2",6.6,5.5,93,8.3,6.2,86,120,8,24.1,102.45
"189",189,"Swartz Bay","Tsawwassen","0","29","November","Wednesday","7","1",5.6,4.6,93,7.1,4.8,85,140,12,24.1,102.72
"190",190,"Swartz Bay","Tsawwassen","0","29","November","Wednesday","9","1",6.3,5.2,93,7.2,3.9,80,160,14,24.1,102.79
"191",191,"Swartz Bay","Tsawwassen","0","29","November","Wednesday","11","1",6.7,5.7,93,7.2,5,86,110,10,24.1,102.88
